,memory,version,dataset,metric,value
203,0.25 GB,SCAMPI (0.25 GB),HAR_Ambient_Sensor_Data,discovery in s,4.011210542
204,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset,discovery in s,3.518966594
205,2 GB,SCAMPI (2 GB),CinC_Challenge,discovery in s,0.36019862500000005
206,16 GB,SCAMPI (16 GB),SpainishEnergyDataset,discovery in s,2.673657592
207,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_50_Hz,discovery in s,13.517330212
208,16 GB,SCAMPI (16 GB),EOG_one_hour_50_Hz,discovery in s,611.964025433
209,0.25 GB,SCAMPI (0.25 GB),Bird12-Week3_2018_1_10,discovery in s,6.289281571
210,4 GB,SCAMPI (4 GB),house,discovery in s,25.984219332
211,4 GB,SCAMPI (4 GB),BlackLeggedKittiwake,discovery in s,68.633752299
212,2 GB,SCAMPI (2 GB),Bird12-Week3_2018_1_10,discovery in s,21.156422028
213,16 GB,SCAMPI (16 GB),HAR_Ambient_Sensor_Data,discovery in s,3.577065
214,0.5 GB,SCAMPI (0.5 GB),Challenge2009TestSetA_101a,discovery in s,15.168082443
215,16 GB,SCAMPI (16 GB),EOG_one_hour_400_Hz,discovery in s,259.573659784
216,1 GB,SCAMPI (1 GB),WindTurbine,discovery in s,14.692019901
217,16 GB,SCAMPI (16 GB),Challenge2009Respiration500HZ,discovery in s,187.978044032
218,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_400_Hz,discovery in s,26.60462802
219,8 GB,SCAMPI (8 GB),Lab_K_060314,discovery in s,46.461990426
220,1 GB,SCAMPI (1 GB),HAR_Ambient_Sensor_Data,discovery in s,3.519792065
221,8 GB,SCAMPI (8 GB),SpainishEnergyDataset,discovery in s,2.694070853
222,0.25 GB,SCAMPI (0.25 GB),swtAttack38,discovery in s,10.506590398
223,2 GB,SCAMPI (2 GB),Lab_FD_061014,discovery in s,24.69951694
224,1 GB,SCAMPI (1 GB),Lab_K_060314,discovery in s,9.686542032
225,8 GB,SCAMPI (8 GB),WindTurbine,discovery in s,82.60245568
226,4 GB,SCAMPI (4 GB),swtAttack7,discovery in s,90.913235381
227,2 GB,SCAMPI (2 GB),EOG_one_hour_400_Hz,discovery in s,65.363713943
228,0.5 GB,SCAMPI (0.5 GB),house,discovery in s,7.542885788
229,4 GB,SCAMPI (4 GB),solarwind,discovery in s,46.873278197
230,1 GB,SCAMPI (1 GB),SpainishEnergyDataset,discovery in s,2.635454021
231,8 GB,SCAMPI (8 GB),HAR_Ambient_Sensor_Data,discovery in s,3.52997147
232,4 GB,SCAMPI (4 GB),Challenge2009Respiration500HZ,discovery in s,47.890737737
233,0.25 GB,SCAMPI (0.25 GB),house,discovery in s,4.083879993
234,4 GB,SCAMPI (4 GB),stator_winding,discovery in s,56.559047242
235,1 GB,SCAMPI (1 GB),CinC_Challenge,discovery in s,0.363024938
236,4 GB,SCAMPI (4 GB),water,discovery in s,58.100258282
237,1 GB,SCAMPI (1 GB),Bird12-Week3_2018_1_10,discovery in s,14.474618787
238,8 GB,SCAMPI (8 GB),CinC_Challenge,discovery in s,0.345659209
239,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_400_Hz,discovery in s,35.542853876
240,4 GB,SCAMPI (4 GB),swtAttack38,discovery in s,111.562333218
241,0.25 GB,SCAMPI (0.25 GB),Challenge2009TestSetA_101a,discovery in s,8.724120299
242,0.5 GB,SCAMPI (0.5 GB),swtAttack38,discovery in s,16.82140763
243,8 GB,SCAMPI (8 GB),Bird12-Week3_2018_1_10,discovery in s,66.681243285
244,4 GB,SCAMPI (4 GB),EOG_one_hour_50_Hz,discovery in s,157.051392842
245,4 GB,SCAMPI (4 GB),Challenge2009TestSetA_101a,discovery in s,107.771301275
246,1 GB,SCAMPI (1 GB),EOG_one_hour_400_Hz,discovery in s,48.20936455
247,2 GB,SCAMPI (2 GB),Lab_K_060314,discovery in s,17.300390122
248,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,discovery in s,2.677757367
249,8 GB,SCAMPI (8 GB),Lab_FD_061014,discovery in s,69.726779092
250,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,discovery in s,10.113136078
251,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,discovery in s,24.249119762
252,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,discovery in s,2.724530337
253,16 GB,SCAMPI (16 GB),house,discovery in s,51.109007374
254,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,discovery in s,222.695372969
255,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,discovery in s,148.42807245
256,2 GB,SCAMPI (2 GB),WindTurbine,discovery in s,27.245256647
257,1 GB,SCAMPI (1 GB),Lab_FD_061014,discovery in s,15.092526212
258,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,discovery in s,5.251436817
259,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,discovery in s,46.113254106
260,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,discovery in s,8.088479962
261,16 GB,SCAMPI (16 GB),swtAttack7,discovery in s,260.381949845
262,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,discovery in s,3.551490986
263,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,discovery in s,6.094164321
264,4 GB,SCAMPI (4 GB),Lab_FD_061014,extent @k,48.361936948
265,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,extent @k,2212.6412697813
266,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,extent @k,356.5894322463
267,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,extent @k,73.7100268275
268,16 GB,SCAMPI (16 GB),stator_winding,extent @k,0.9058817693000001
269,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,extent @k,590.6865298222
270,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,extent @k,151.9748246908
271,0.5 GB,SCAMPI (0.5 GB),WindTurbine,extent @k,0.8290595607
272,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,extent @k,526.0229945341
273,2 GB,SCAMPI (2 GB),solarwind,extent @k,119.7295624598
274,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,extent @k,1496.4441620544
275,2 GB,SCAMPI (2 GB),swtAttack7,extent @k,16.1745725164
276,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,extent @k,0.0
277,0.5 GB,SCAMPI (0.5 GB),water,extent @k,75.667009406
278,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
279,0.25 GB,SCAMPI (0.25 GB),swtAttack7,extent @k,16.3229323997
280,8 GB,SCAMPI (8 GB),water,extent @k,29.2379969747
281,1 GB,SCAMPI (1 GB),swtAttack38,extent @k,6.8852234545
282,8 GB,SCAMPI (8 GB),stator_winding,extent @k,0.9063614888
283,0.5 GB,SCAMPI (0.5 GB),stator_winding,extent @k,0.9850028420000001
284,0.5 GB,SCAMPI (0.5 GB),solarwind,extent @k,70.6192600958
285,16 GB,SCAMPI (16 GB),CinC_Challenge,extent @k,0.0
286,2 GB,SCAMPI (2 GB),house,extent @k,0.0725484591
287,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,extent @k,222.1454505866
288,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,extent @k,47.2579071023
289,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
290,8 GB,SCAMPI (8 GB),swtAttack38,extent @k,6.922031001
291,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,extent @k,73.7100268275
292,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,extent @k,2212.6412697813
293,1 GB,SCAMPI (1 GB),stator_winding,extent @k,0.9140685349000001
294,4 GB,SCAMPI (4 GB),CinC_Challenge,extent @k,0.0
295,1 GB,SCAMPI (1 GB),water,extent @k,66.182457626
296,16 GB,SCAMPI (16 GB),Lab_K_060314,extent @k,130.2010759451
297,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,extent @k,0.0172921306
298,0.25 GB,SCAMPI (0.25 GB),stator_winding,extent @k,1.0223540943
299,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,extent @k,73.7100268275
300,0.25 GB,SCAMPI (0.25 GB),solarwind,extent @k,70.6192600958
301,4 GB,SCAMPI (4 GB),Lab_K_060314,extent @k,130.1832891957
302,16 GB,SCAMPI (16 GB),water,extent @k,33.8954222467
303,1 GB,SCAMPI (1 GB),swtAttack7,extent @k,16.1517280884
304,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,extent @k,63.2837225318
305,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,extent @k,2212.6412697813
306,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,extent @k,444.5532657063
