,memory,version,dataset,motif length,metric,value
1862,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,2048,extent@k,0.04657167272065714
1863,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,4096,extent@k,0.09875509556473529
1864,8 GB,SCAMPI (8 GB),stator_winding,512,extent@k,0.467400756203924
1865,8 GB,SCAMPI (8 GB),stator_winding,1024,extent@k,0.601676715520885
1866,8 GB,SCAMPI (8 GB),stator_winding,2048,extent@k,0.950744917157068
1867,8 GB,SCAMPI (8 GB),stator_winding,4096,extent@k,1.4676080512180356
1868,0.5 GB,SCAMPI (0.5 GB),stator_winding,512,extent@k,0.467400756203924
1869,0.5 GB,SCAMPI (0.5 GB),stator_winding,1024,extent@k,0.601676715520885
1870,0.5 GB,SCAMPI (0.5 GB),stator_winding,2048,extent@k,0.9519713125404567
1871,0.5 GB,SCAMPI (0.5 GB),stator_winding,4096,extent@k,1.4676515894448519
1872,64 GB,SCAMPI (64 GB),CinC_Challenge,512,extent@k,0.0
1873,64 GB,SCAMPI (64 GB),CinC_Challenge,1024,extent@k,0.0
1874,64 GB,SCAMPI (64 GB),CinC_Challenge,2048,extent@k,0.0
1875,64 GB,SCAMPI (64 GB),CinC_Challenge,4096,extent@k,0.0
1876,32 GB,SCAMPI (32 GB),water,512,extent@k,3.95460452192125
1877,32 GB,SCAMPI (32 GB),water,1024,extent@k,5.0307562391056075
1878,32 GB,SCAMPI (32 GB),water,2048,extent@k,4.591705433169684
1879,32 GB,SCAMPI (32 GB),water,4096,extent@k,14.035009954324934
1880,0.5 GB,SCAMPI (0.5 GB),solarwind,512,extent@k,0.7870683456981357
1881,0.5 GB,SCAMPI (0.5 GB),solarwind,1024,extent@k,1.8813040273172223
1882,0.5 GB,SCAMPI (0.5 GB),solarwind,2048,extent@k,7.607124215142014
1883,0.5 GB,SCAMPI (0.5 GB),solarwind,4096,extent@k,40.20405307448865
1884,16 GB,SCAMPI (16 GB),CinC_Challenge,512,extent@k,0.0
1885,16 GB,SCAMPI (16 GB),CinC_Challenge,1024,extent@k,0.0
1886,16 GB,SCAMPI (16 GB),CinC_Challenge,2048,extent@k,0.0
1887,16 GB,SCAMPI (16 GB),CinC_Challenge,4096,extent@k,0.0
1888,2 GB,SCAMPI (2 GB),house,512,extent@k,0.02513076998422452
1889,2 GB,SCAMPI (2 GB),house,1024,extent@k,4.871524759159087
1890,2 GB,SCAMPI (2 GB),house,2048,extent@k,0.268064357198043
1891,2 GB,SCAMPI (2 GB),house,4096,extent@k,3.137260096166717
1892,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,512,extent@k,0.0
1893,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,1024,extent@k,7.151835239384364
1894,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,2048,extent@k,14.65672718442627
1895,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,4096,extent@k,22.135423833466575
1896,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,512,extent@k,1.148049058315889
1897,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,1024,extent@k,2.1223182326644605
1898,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,2048,extent@k,4.832756731142175
1899,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,4096,extent@k,11.732324302477323
1900,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,512,extent@k,9.529402057327626
1901,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,1024,extent@k,22.03196400024519
1902,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,2048,extent@k,48.16535560191059
1903,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,4096,extent@k,88.01878246652075
1904,8 GB,SCAMPI (8 GB),swtAttack38,512,extent@k,0.0
1905,8 GB,SCAMPI (8 GB),swtAttack38,1024,extent@k,1.5646801344683838
1906,8 GB,SCAMPI (8 GB),swtAttack38,2048,extent@k,2.6249118089947325
1907,8 GB,SCAMPI (8 GB),swtAttack38,4096,extent@k,4.821636619904075
1908,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,512,extent@k,1.5215908161526213
1909,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,1024,extent@k,0.05807684133972852
1910,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,2048,extent@k,7.056386408112866
1911,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,4096,extent@k,19.573477933384755
1912,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,512,extent@k,0.01884264843380569
1913,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,1024,extent@k,0.026108822263748322
1914,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,2048,extent@k,0.04657167272065714
1915,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,4096,extent@k,0.09875509556473529
1916,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,512,extent@k,1.4770129661583882
1917,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,1024,extent@k,7.961240979099929
1918,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,2048,extent@k,13.530349045076406
1919,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,4096,extent@k,76.49723690844199
1920,32 GB,SCAMPI (32 GB),Lab_K_060314,512,extent@k,3.3744262837258723
1921,32 GB,SCAMPI (32 GB),Lab_K_060314,1024,extent@k,5.582869677388144
1922,32 GB,SCAMPI (32 GB),Lab_K_060314,2048,extent@k,10.977067373829861
1923,32 GB,SCAMPI (32 GB),Lab_K_060314,4096,extent@k,16.383213762311716
1924,1 GB,SCAMPI (1 GB),stator_winding,512,extent@k,0.467400756203924
1925,1 GB,SCAMPI (1 GB),stator_winding,1024,extent@k,0.60257686082358
1926,1 GB,SCAMPI (1 GB),stator_winding,2048,extent@k,0.9509539956801275
1927,1 GB,SCAMPI (1 GB),stator_winding,4096,extent@k,1.4676515894448519
1928,4 GB,SCAMPI (4 GB),CinC_Challenge,512,extent@k,0.0
1929,4 GB,SCAMPI (4 GB),CinC_Challenge,1024,extent@k,0.0
1930,4 GB,SCAMPI (4 GB),CinC_Challenge,2048,extent@k,0.0
1931,4 GB,SCAMPI (4 GB),CinC_Challenge,4096,extent@k,0.0
1932,1 GB,SCAMPI (1 GB),water,512,extent@k,0.0
1933,1 GB,SCAMPI (1 GB),water,1024,extent@k,0.0003333166662499792
1934,1 GB,SCAMPI (1 GB),water,2048,extent@k,4.620239249735883
1935,1 GB,SCAMPI (1 GB),water,4096,extent@k,14.660005919265517
1936,16 GB,SCAMPI (16 GB),Lab_K_060314,512,extent@k,3.3744262837258723
1937,16 GB,SCAMPI (16 GB),Lab_K_060314,1024,extent@k,5.582869677388144
1938,16 GB,SCAMPI (16 GB),Lab_K_060314,2048,extent@k,9.641569047701728
1939,16 GB,SCAMPI (16 GB),Lab_K_060314,4096,extent@k,16.383213762311716
1940,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,512,extent@k,0.022200038288255272
1941,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,1024,extent@k,0.0534216014361232
1942,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,2048,extent@k,0.13132244438785018
1943,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,4096,extent@k,0.3383981838012728
1944,0.25 GB,SCAMPI (0.25 GB),stator_winding,512,extent@k,0.46754187106611106
1945,0.25 GB,SCAMPI (0.25 GB),stator_winding,1024,extent@k,0.60257686082358
1946,0.25 GB,SCAMPI (0.25 GB),stator_winding,2048,extent@k,0.9636833029579791
1947,0.25 GB,SCAMPI (0.25 GB),stator_winding,4096,extent@k,1.4676080512180356
1948,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,512,extent@k,1.5215908161526213
1949,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,1024,extent@k,0.05807684133972852
1950,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,2048,extent@k,6.564315201991751
1951,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,4096,extent@k,19.431963255906492
1952,0.25 GB,SCAMPI (0.25 GB),solarwind,512,extent@k,0.8311425006579798
1953,0.25 GB,SCAMPI (0.25 GB),solarwind,1024,extent@k,2.0667089028936805
1954,0.25 GB,SCAMPI (0.25 GB),solarwind,2048,extent@k,8.679860593926609
1955,0.25 GB,SCAMPI (0.25 GB),solarwind,4096,extent@k,41.5850912674783
1956,4 GB,SCAMPI (4 GB),recorddata,512,extent@k,12.088996156505303
1957,4 GB,SCAMPI (4 GB),recorddata,1024,extent@k,17.20195927684402
1958,4 GB,SCAMPI (4 GB),recorddata,2048,extent@k,34.44832806929823
1959,4 GB,SCAMPI (4 GB),recorddata,4096,extent@k,78.97771137290191
1960,64 GB,SCAMPI (64 GB),Lab_K_060314,512,extent@k,3.3744262837258723
1961,64 GB,SCAMPI (64 GB),Lab_K_060314,1024,extent@k,5.582869677388144
1962,64 GB,SCAMPI (64 GB),Lab_K_060314,2048,extent@k,9.641569047701728
1963,64 GB,SCAMPI (64 GB),Lab_K_060314,4096,extent@k,16.383661324679537
1964,4 GB,SCAMPI (4 GB),Lab_K_060314,512,extent@k,3.3744262837258723
1965,4 GB,SCAMPI (4 GB),Lab_K_060314,1024,extent@k,7.79618098974748
1966,4 GB,SCAMPI (4 GB),Lab_K_060314,2048,extent@k,11.413924898114583
1967,4 GB,SCAMPI (4 GB),Lab_K_060314,4096,extent@k,16.388556590468852
1968,16 GB,SCAMPI (16 GB),water,512,extent@k,0.0
1969,16 GB,SCAMPI (16 GB),water,1024,extent@k,0.0003333166662499792
1970,16 GB,SCAMPI (16 GB),water,2048,extent@k,4.633316778367307
1971,16 GB,SCAMPI (16 GB),water,4096,extent@k,14.03431472751698
1972,1 GB,SCAMPI (1 GB),swtAttack7,512,extent@k,0.0017529974329701685
1973,1 GB,SCAMPI (1 GB),swtAttack7,1024,extent@k,1.6112328224995915
1974,1 GB,SCAMPI (1 GB),swtAttack7,2048,extent@k,4.00301358393898
1975,1 GB,SCAMPI (1 GB),swtAttack7,4096,extent@k,15.32665390959488
1976,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,512,extent@k,1.5215908161526213
1977,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,1024,extent@k,0.05807684133972852
1978,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,2048,extent@k,7.115822747244341
1979,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,4096,extent@k,19.783792912055564
1980,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,512,extent@k,1.5749112366416083
1981,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,1024,extent@k,10.639341730008487
1982,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,2048,extent@k,17.333327947111023
1983,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,4096,extent@k,73.91970078381812
1984,64 GB,SCAMPI (64 GB),water,512,extent@k,0.0
1985,64 GB,SCAMPI (64 GB),water,1024,extent@k,0.0003333166662499792
1986,64 GB,SCAMPI (64 GB),water,2048,extent@k,4.633316778367307
1987,64 GB,SCAMPI (64 GB),water,4096,extent@k,13.980656016900637
1988,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,512,extent@k,0.9894456421653491
1989,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,1024,extent@k,5.668925224299576
1990,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,2048,extent@k,15.164551406461056
1991,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,4096,extent@k,48.77001187006212
1992,1 GB,SCAMPI (1 GB),solarwind,512,extent@k,0.7677966734103503
1993,1 GB,SCAMPI (1 GB),solarwind,1024,extent@k,1.91251695720587
1994,1 GB,SCAMPI (1 GB),solarwind,2048,extent@k,7.366801446374132
1995,1 GB,SCAMPI (1 GB),solarwind,4096,extent@k,34.8940491175974
1996,32 GB,SCAMPI (32 GB),CinC_Challenge,512,extent@k,0.0
1997,32 GB,SCAMPI (32 GB),CinC_Challenge,1024,extent@k,0.0
1998,32 GB,SCAMPI (32 GB),CinC_Challenge,2048,extent@k,0.0
1999,32 GB,SCAMPI (32 GB),CinC_Challenge,4096,extent@k,0.0
2000,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,512,extent@k,7.937253933193772e-05
2001,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,1024,extent@k,0.0014220407870381214
2002,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,2048,extent@k,0.011633361509039424
2003,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,4096,extent@k,0.028326521141855736
2004,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,512,extent@k,0.07602034596080184
2005,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,1024,extent@k,14.855583664373473
2006,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,2048,extent@k,31.654892099648674
2007,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,4096,extent@k,37.64910510531824
2008,0.5 GB,SCAMPI (0.5 GB),swtAttack7,512,extent@k,0.0017529974329701685
2009,0.5 GB,SCAMPI (0.5 GB),swtAttack7,1024,extent@k,1.6112328224995915
2010,0.5 GB,SCAMPI (0.5 GB),swtAttack7,2048,extent@k,4.011339560296535
2011,0.5 GB,SCAMPI (0.5 GB),swtAttack7,4096,extent@k,15.340002065319286
2012,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,512,extent@k,1.5215908161526213
2013,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,1024,extent@k,0.05807684133972852
2014,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,2048,extent@k,6.043839446527348
2015,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,4096,extent@k,16.988693616938296
2016,0.25 GB,SCAMPI (0.25 GB),recorddata,512,extent@k,12.088996156505303
2017,0.25 GB,SCAMPI (0.25 GB),recorddata,1024,extent@k,17.20195927684402
2018,0.25 GB,SCAMPI (0.25 GB),recorddata,2048,extent@k,34.44832806929823
2019,0.25 GB,SCAMPI (0.25 GB),recorddata,4096,extent@k,78.97771137290191
2020,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,512,extent@k,1.4770129661583882
2021,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,1024,extent@k,4.618427237859226
2022,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,2048,extent@k,12.316544188245338
2023,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,4096,extent@k,21.322610129951258
2024,4 GB,SCAMPI (4 GB),WindTurbine,512,extent@k,1.1030641964545853
2025,4 GB,SCAMPI (4 GB),WindTurbine,1024,extent@k,2.0787837008933856
2026,4 GB,SCAMPI (4 GB),WindTurbine,2048,extent@k,6.177818308213669
2027,4 GB,SCAMPI (4 GB),WindTurbine,4096,extent@k,33.22200743753754
2028,8 GB,SCAMPI (8 GB),swtAttack7,512,extent@k,0.0017529974329701685
2029,8 GB,SCAMPI (8 GB),swtAttack7,1024,extent@k,1.6131443186832355
2030,8 GB,SCAMPI (8 GB),swtAttack7,2048,extent@k,4.000508193667399
2031,8 GB,SCAMPI (8 GB),swtAttack7,4096,extent@k,15.327886148530071
2032,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,512,extent@k,0.9734554029332828
2033,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,1024,extent@k,5.69526444335116
2034,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,2048,extent@k,15.12029524406187
2035,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,4096,extent@k,45.96366038960018
2036,8 GB,SCAMPI (8 GB),solarwind,512,extent@k,0.7357908411362566
2037,8 GB,SCAMPI (8 GB),solarwind,1024,extent@k,1.8414562826469707
2038,8 GB,SCAMPI (8 GB),solarwind,2048,extent@k,6.34822177397734
2039,8 GB,SCAMPI (8 GB),solarwind,4096,extent@k,24.181500118466595
2040,32 GB,SCAMPI (32 GB),FingerFlexionECoG,512,extent@k,4.242640687119285e-05
2041,32 GB,SCAMPI (32 GB),FingerFlexionECoG,1024,extent@k,0.006781128224713053
2042,32 GB,SCAMPI (32 GB),FingerFlexionECoG,2048,extent@k,6.296287637298664
2043,32 GB,SCAMPI (32 GB),FingerFlexionECoG,4096,extent@k,0.0005514526271584895
2044,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,512,extent@k,0.0
2045,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,1024,extent@k,7.148956409413894
2046,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,2048,extent@k,14.41735214448201
2047,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,4096,extent@k,21.89648303577312
2048,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,512,extent@k,0.9734554029332828
2049,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,1024,extent@k,5.69526444335116
2050,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,2048,extent@k,15.144591924419753
2051,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,4096,extent@k,45.96366038960018
2052,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,512,extent@k,0.01944687892696409
2053,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,1024,extent@k,0.026108822263748322
2054,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,2048,extent@k,0.04654808588975491
2055,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,4096,extent@k,0.09877132174877483
2056,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,512,extent@k,0.012526196549631496
2057,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,1024,extent@k,0.04848449442863151
2058,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,2048,extent@k,0.13372644652423843
2059,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,4096,extent@k,0.5986643993089952
2060,16 GB,SCAMPI (16 GB),Lab_FD_061014,512,extent@k,3.290637066754704
2061,16 GB,SCAMPI (16 GB),Lab_FD_061014,1024,extent@k,4.866828608118433
2062,16 GB,SCAMPI (16 GB),Lab_FD_061014,2048,extent@k,6.932437090179759
2063,16 GB,SCAMPI (16 GB),Lab_FD_061014,4096,extent@k,11.303120494376763
2064,16 GB,SCAMPI (16 GB),WindTurbine,512,extent@k,1.1030641964545853
2065,16 GB,SCAMPI (16 GB),WindTurbine,1024,extent@k,2.0787837008933856
2066,16 GB,SCAMPI (16 GB),WindTurbine,2048,extent@k,6.177818308213669
2067,16 GB,SCAMPI (16 GB),WindTurbine,4096,extent@k,33.22200743753754
2068,1 GB,SCAMPI (1 GB),house,512,extent@k,0.02513076998422452
2069,1 GB,SCAMPI (1 GB),house,1024,extent@k,4.871524759159087
2070,1 GB,SCAMPI (1 GB),house,2048,extent@k,0.268064357198043
2071,1 GB,SCAMPI (1 GB),house,4096,extent@k,3.161648961981706
2072,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,512,extent@k,1.156798094526439
2073,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,1024,extent@k,2.1278206841038085
2074,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,2048,extent@k,4.832756731142175
2075,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,4096,extent@k,11.742447319145187
2076,64 GB,SCAMPI (64 GB),WindTurbine,512,extent@k,1.1030641964545853
2077,64 GB,SCAMPI (64 GB),WindTurbine,1024,extent@k,2.0787837008933856
2078,64 GB,SCAMPI (64 GB),WindTurbine,2048,extent@k,6.177818308213669
2079,64 GB,SCAMPI (64 GB),WindTurbine,4096,extent@k,33.22200743753754
2080,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,512,extent@k,7.937253933193772e-05
2081,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,1024,extent@k,0.0014220407870381214
2082,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,2048,extent@k,0.011633361509039424
2083,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,4096,extent@k,0.028326521141855736
2084,64 GB,SCAMPI (64 GB),Lab_FD_061014,512,extent@k,3.290637066754704
2085,64 GB,SCAMPI (64 GB),Lab_FD_061014,1024,extent@k,4.872015140842647
2086,64 GB,SCAMPI (64 GB),Lab_FD_061014,2048,extent@k,6.93050745155793
2087,64 GB,SCAMPI (64 GB),Lab_FD_061014,4096,extent@k,11.281242588075127
2088,2 GB,SCAMPI (2 GB),water,512,extent@k,0.0
2089,2 GB,SCAMPI (2 GB),water,1024,extent@k,0.0003333166662499792
2090,2 GB,SCAMPI (2 GB),water,2048,extent@k,4.620239249735883
2091,2 GB,SCAMPI (2 GB),water,4096,extent@k,15.18398796106609
2092,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,512,extent@k,0.012526196549631496
2093,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,1024,extent@k,0.04848449442863151
2094,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,2048,extent@k,0.13372644652423843
2095,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,4096,extent@k,0.5986643993089952
2096,2 GB,SCAMPI (2 GB),stator_winding,512,extent@k,0.467400756203924
2097,2 GB,SCAMPI (2 GB),stator_winding,1024,extent@k,0.60257686082358
2098,2 GB,SCAMPI (2 GB),stator_winding,2048,extent@k,0.9506249449178156
2099,2 GB,SCAMPI (2 GB),stator_winding,4096,extent@k,1.4676515894448519
2100,0.25 GB,SCAMPI (0.25 GB),water,512,extent@k,0.0
2101,0.25 GB,SCAMPI (0.25 GB),water,1024,extent@k,0.0003333166662499792
2102,0.25 GB,SCAMPI (0.25 GB),water,2048,extent@k,4.860140672953819
2103,0.25 GB,SCAMPI (0.25 GB),water,4096,extent@k,16.612226251005612
2104,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,512,extent@k,0.0
2105,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,1024,extent@k,0.0
2106,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,2048,extent@k,0.0
2107,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,4096,extent@k,0.0
2108,32 GB,SCAMPI (32 GB),stator_winding,512,extent@k,0.467400756203924
2109,32 GB,SCAMPI (32 GB),stator_winding,1024,extent@k,0.60257686082358
2110,32 GB,SCAMPI (32 GB),stator_winding,2048,extent@k,0.9505199532361223
2111,32 GB,SCAMPI (32 GB),stator_winding,4096,extent@k,1.4676080512180356
2112,0.25 GB,SCAMPI (0.25 GB),WindTurbine,512,extent@k,1.1030641964545853
2113,0.25 GB,SCAMPI (0.25 GB),WindTurbine,1024,extent@k,2.0787837008933856
2114,0.25 GB,SCAMPI (0.25 GB),WindTurbine,2048,extent@k,6.177818308213669
2115,0.25 GB,SCAMPI (0.25 GB),WindTurbine,4096,extent@k,33.22200743753754
2116,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,512,extent@k,1.166876857299004
2117,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,1024,extent@k,2.1278206841038085
2118,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,2048,extent@k,4.832756731142175
2119,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,4096,extent@k,11.76481899235173
2120,16 GB,SCAMPI (16 GB),SynchrophasorEventsLarge,512,extent@k,0.012526196549631496
2121,16 GB,SCAMPI (16 GB),SynchrophasorEventsLarge,1024,extent@k,0.04848449442863151
2122,16 GB,SCAMPI (16 GB),SynchrophasorEventsLarge,2048,extent@k,0.13372644652423843
2123,16 GB,SCAMPI (16 GB),SynchrophasorEventsLarge,4096,extent@k,0.5986643993089952
2124,2 GB,SCAMPI (2 GB),SpainishEnergyDataset5sec,512,extent@k,0.01884264843380569
2125,2 GB,SCAMPI (2 GB),SpainishEnergyDataset5sec,1024,extent@k,0.026108822263748322
2126,2 GB,SCAMPI (2 GB),SpainishEnergyDataset5sec,2048,extent@k,0.04657167272065714
2127,2 GB,SCAMPI (2 GB),SpainishEnergyDataset5sec,4096,extent@k,0.09875509556473529
2128,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,512,extent@k,9.529402057327626
2129,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,1024,extent@k,22.03196400024519
2130,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,2048,extent@k,48.16535560191059
2131,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,4096,extent@k,88.01878246652075
2132,8 GB,SCAMPI (8 GB),house,512,extent@k,0.02513076998422452
2133,8 GB,SCAMPI (8 GB),house,1024,extent@k,4.871524759159087
2134,8 GB,SCAMPI (8 GB),house,2048,extent@k,0.268064357198043
2135,8 GB,SCAMPI (8 GB),house,4096,extent@k,3.000515929786076
2136,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,512,extent@k,1.1446901325686354
2137,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,1024,extent@k,2.1223182326644605
2138,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,2048,extent@k,4.832756731142175
2139,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,4096,extent@k,11.732324302477323
2140,2 GB,SCAMPI (2 GB),swtAttack38,512,extent@k,0.0
2141,2 GB,SCAMPI (2 GB),swtAttack38,1024,extent@k,1.5782505522254697
2142,2 GB,SCAMPI (2 GB),swtAttack38,2048,extent@k,2.6249118089947325
2143,2 GB,SCAMPI (2 GB),swtAttack38,4096,extent@k,4.821636619904075
2144,32 GB,SCAMPI (32 GB),swtAttack7,512,extent@k,5.113948624204197
2145,32 GB,SCAMPI (32 GB),swtAttack7,1024,extent@k,1.6112328224995915
2146,32 GB,SCAMPI (32 GB),swtAttack7,2048,extent@k,3.983628210752103
2147,32 GB,SCAMPI (32 GB),swtAttack7,4096,extent@k,15.305672511569036
2148,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,512,extent@k,1.4800273000184827
2149,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,1024,extent@k,4.589555511288648
2150,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,2048,extent@k,11.62689936867091
2151,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,4096,extent@k,19.884434035461005
2152,0.5 GB,SCAMPI (0.5 GB),FingerFlexionECoG,512,extent@k,6.133426536610674e-11
2153,0.5 GB,SCAMPI (0.5 GB),FingerFlexionECoG,1024,extent@k,6.884870204295793e-10
2154,0.5 GB,SCAMPI (0.5 GB),FingerFlexionECoG,2048,extent@k,1.4969894545386751e-09
2155,0.5 GB,SCAMPI (0.5 GB),FingerFlexionECoG,4096,extent@k,0.0005514526271584895
2156,64 GB,SCAMPI (64 GB),solarwind,512,extent@k,0.7304486354289397
2157,64 GB,SCAMPI (64 GB),solarwind,1024,extent@k,1.8414562826469707
2158,64 GB,SCAMPI (64 GB),solarwind,2048,extent@k,6.088908298053108
2159,64 GB,SCAMPI (64 GB),solarwind,4096,extent@k,20.280146365862354
2160,16 GB,SCAMPI (16 GB),solarwind,512,extent@k,0.7446437375013638
2161,16 GB,SCAMPI (16 GB),solarwind,1024,extent@k,1.8407857188439942
2162,16 GB,SCAMPI (16 GB),solarwind,2048,extent@k,6.196375956557188
2163,16 GB,SCAMPI (16 GB),solarwind,4096,extent@k,22.953831171296873
2164,64 GB,SCAMPI (64 GB),MGHSleepElectromyography,512,extent@k,1.4800273000184827
